No.,Keyword,Kegunaan,Cara Penulisan
1,Open Browser,Untuk membuka browser,Open Browser    ${LOGIN URL}    ${BROWSER}
2,Click,Untuk mengklik element yang ditentukan valuenya,Click  login_button
3,Input Text,Untuk mengetikkan teks pada field,Input Text    username_field    ${username}
4,Maximize Browser Window,Untuk memperbesar tampilan window yang dijalankan,Maximize Browser Window
5,Sleep,Untuk memberikan waktu jeda setelah perintah sebelumnya dijalankan,Sleep  2s
6,Title Should Be,Melakukan verifikasi pada Welcome Page,Title Should Be    Welcome Page
7,Close Browser,Untuk menutup browser yang sedang digunakan,[Teardown] Close Browser
8,Wait Until Element Is Visible,Untuk melakukan verifikasi sampai element yang dituju terlihat,"Wait Until Element Is Visible  locator,  timeout:"
9,Wait Until Location Contains,Untuk melakukan verifikasi sampai halaman mengandung lokasi yang dituju,"Wait Until Location Contains  expected,  timeout:"
10,Choose File,Untuk memilih file yang akan di attach,"Choose File	locator,  file_path"